address,transaction_count,avg_gas_limit,max_gas_limit,total_excess_gas,additional_cost_eth,splits_required
0xbf1e4aefd0a2b43c1f129de3ba3dd4a9b5de939d,289,20011366.73702422,20023633.0,934669563.0,7.772328128740485e-06,2.0
0x30937d8d9766422577b9905fdb3698e9ff8e032c,286,21515083.251748253,25973239.0,1355030034.0,8.385866425216783e-06,2.0
0xd00789c7f2aef63f4fbaaa581753816aeb63d129,283,27203318.021201413,28613000.0,2950586872.0,1.5820011841229685e-05,2.0
0x0f35d1356b47e2d540e365a688d156af0ff8ccce,280,27090214.285714287,28383000.0,2887639520.0,7.8103160244e-06,2.0
0xf528ab24cec3be2c48a04fc3790cbd664eb3205c,274,20000000.0,20000000.0,883042816.0,7.950109489051094e-06,2.0
0x0d823292504a3f8ea21a206c950b186d8be88643,270,30102462.35185185,30221102.0,3597816515.0,9.510132699666667e-06,2.0
0xc5069d7c56648407d459e2c3c08d9cc4caa3c849,265,25349433.96226415,25600000.0,2271637760.0,1.0250762855649057e-05,2.0
0x23feff68d3f47029aa388d506e55f9a09b8d25a7,261,27120674.32950192,28423000.0,2699642624.0,1.5836091954022988e-05,2.0
0x4af08f3225b440134790bf3dff6b1d53d3edc527,261,27122961.68582375,28423000.0,2700239624.0,9.0493908045977e-06,2.0
0xedefc33040eea559b6ea99bc958606c85857b669,251,25653910.027888447,25696076.0,2228050201.0,1.0022270916334662e-05,2.0
0x579b9e2d990c62c8d6c8542a056faa32d09bd259,250,20000000.0,20000000.0,805696000.0,1.2894e-05,2.0
0xec8111148bb46afdb1efdfe529acc4ff15cb07a2,250,27067960.0,28313000.0,2572686000.0,1.5790124735364e-05,2.0
0xa631a0c53bddfcbe791fd558c129beb310a8994d,247,27023283.400809716,28013000.0,2530778648.0,1.7371336032388666e-05,2.0
0x67bd687573728dfbd8d279bf3413e3fc13c45df7,246,20013661.69512195,20025269.0,796165641.0,1.2169253454536586e-05,2.0
0x5c0f5a2df887ee5a4f950b9d4b9a8d81b0f9f577,239,20023605.627615064,20023633.0,775887121.0,1.0931656501192468e-05,2.0
0x13c8b00487cb57475a349ca232b38003f208f9ca,239,20175563.765690375,22000000.0,812205116.0,9.79626764422594e-06,2.0
0x0f0f50339f009e22ae155c4b3379dc3ee2e578b1,235,26627723.40425532,27343000.0,2314869240.0,8.97844080098298e-06,2.0
0x74657b568c0a309c965e5dd61ef6e4dbf4da6b79,232,20000000.0,20000000.0,747685888.0,1.5017778837310346e-05,2.0
0x8ffb5c1fef57f839363c076efb02cf975099ab8b,228,26957956.14035088,28093000.0,2321208752.0,1.6601973684210525e-05,2.0
0xfb9387495e35b486672d48ac3bec47f7fb9a8d4d,227,19168281.938325986,19200000.0,542771968.0,8.379255614451541e-05,2.0
0x8a069b7bb983fab3d558e1e9ea65dc23b27157ef,224,26462580.35714286,27573000.0,2169521616.0,8.1708421531875e-06,2.0
0x80e52b6b3ef10fd6fddf19242face64779cac656,223,20000000.0,20000000.0,718680832.0,1.885091338925112e-05,2.0
0xdec16f08185455b3f7865d246f1a3029cf8fb506,219,20023789.812785387,20025269.0,710999665.0,1.0604386491616438e-05,2.0
0x5247d8d0bf85b5d96130784b687b9a06ea2390ae,212,26144863.20754717,27563000.0,1985941208.0,9.953743866962264e-06,2.0
0x09a42a301de615e7818febc89841e0d2b86bc72d,211,20010864.45971564,20023633.0,682299825.0,8.677047000767771e-06,2.0
0xebfaa39bda88035cf96f90769876f99d566c2198,210,20047619.04761905,30000000.0,686784640.0,1.5089e-05,2.0
0x21deabfe7de199d332933229f76c6c582bb58eba,210,26566000.0,27633000.0,2055644640.0,9.206374106e-06,2.0
0x18c1c90101aa2d04b62a8fa80fb8d9a574362079,209,26957717.70334928,27853000.0,2127724856.0,1.1407911749483254e-05,2.0
0x099e4c538861f5072a54542ffa6ace7b90499f5c,209,22974836.42583732,26291511.0,1295302669.0,8.13575023337799e-06,2.0
0xabd7a659d4c6e30c78899015f49b3513cf496351,204,25600000.0,25600000.0,1799847936.0,8.808676470588234e-06,2.0
0xce31a2ecdd33f8ee8cbe79d7b261cd01ec47c85b,200,33238960.12,33543297.0,3292348824.0,7.4844e-06,2.0
0x90510c6bab8cc0f6c964c46970264dbb8b7b2857,199,20000000.0,20000000.0,641334016.0,0.00042049506280111056,2.0
0x1a5098c05e15fed14bf095e096cecfc7511d2913,199,20029791.577889454,20080624.0,647262540.0,1.0377099889673368e-05,2.0
0x41db6c3fcd594decda67ffa31ba013e6b562980f,197,30000000.0,30000000.0,2604888448.0,7.168320009633503e-05,2.0
0xd29c403f9191ad5833e00b03f70979b10909a5cc,197,33414650.59390863,33801185.0,3277574615.0,1.5019295819482235e-05,2.0
0x3e5b5ba96c44eab06e75801b9be6ea3bb376e599,196,31786173.18367347,32073144.0,2941755608.0,8.651786962285714e-06,2.0
0x718d3cfb318f1dccc55fd63208d94830f9f1f97b,195,32786275.184615385,32841243.0,3121766541.0,8.375628052184616e-06,2.0
0xef440880dd9af16995c81414e1cd600477ea53e6,193,20145025.476683937,22500000.0,649987229.0,1.6826865960248707e-05,2.0
0x2022d969058c100b5099a5f6112f8cd3c760b770,190,33314881.742105264,33579047.0,3142156491.0,8.009952631578948e-06,2.0
0x30593f038c19bdaf12aa37d131fca3515fc8e774,183,33428748.55191257,33939185.0,3047230457.0,1.5261629836967213e-05,2.0
0x20a2dd68ee9c9a7bebac7a19c415a91662a7b6af,182,26664351.648351647,27623000.0,1799458688.0,7.727721146192308e-06,2.0
0xa1a2851d339ad08a82811638fc6789148c80a428,180,27914094.933333334,33451843.0,2004638208.0,8.54173542068e-05,2.0
0x9789f7339557fe18f4ef025f231e19d98672f40c,180,24565000.0,25600000.0,1401801120.0,1.2516990076266665e-05,2.0
0xb25abc9dab14bf5bb721745cc4291eafa4da9739,179,19205586.59217877,25600000.0,434678336.0,6.137770869921787e-05,2.0
0xc77820eef59629fc8d88154977bc8de8a1b2f4ae,176,20000000.0,20000000.0,567209984.0,0.00015559924323502842,2.0
0x97f00407a375f260beb0ef25454e5bf3d5243763,173,20202312.138728324,27000000.0,592541632.0,9.173236994219652e-06,2.0
0xf39e306d0c08527b7e853431eb834b89ed44bd9e,171,20023633.0,20023633.0,555137307.0,8.217746672333334e-06,2.0
0xe08cdadd44440e32ef153956a7ec40804a32dd74,170,22340054.4,24021080.0,945682528.0,1.3691036964705883e-05,2.0
0xdad19177128fc63b9de5aac7c9afb08ede8830dd,168,25664372.06547619,26374093.0,1493042219.0,1.340706127825e-05,2.0
0x32d1a09e03ba23d1396cbc25b280dd64a85ebcf5,168,23581567.23809524,26291511.0,1143131008.0,8.004557340875e-06,2.0
0x51a3c407f130163b28b762513864e596a1de1bd9,167,20000000.0,20000000.0,538204928.0,0.0001481264822343952,2.0
0x6c927b288ee86fb3155e62d8954d030675b87ce7,166,26614253.012048192,27473000.0,1632948144.0,1.142602409638554e-05,2.0
0x89a9b4d6fc0db2faf7a9f56d690438689a86124b,166,26544192.77108434,27343000.0,1621318144.0,9.398219972096384e-06,2.0
0x319fbf0734f37c5fa4558dd9163b05142602cc40,165,19281786.66060606,24538704.0,413254159.0,1.8936815064618184e-05,2.0
0x072422317fdd07ccf2818d3147d49a50ef58253d,164,18207317.073170733,20000000.0,234536576.0,0.00012282962547975,2.0
0xe6479473072ef2b7e4eba937a354a9fd7d82f07c,162,19882716.049382716,21750000.0,503091008.0,5.758833748875926e-05,2.0
0x5cb7c577300277f6ddc4e686a12823a1de6d26fa,161,24530613.236024845,34793138.0,1248296955.0,4.020444646213044e-05,2.0
0x2147838f241fb984f9229fec1c148f0fb58d70a7,160,26883300.0,28383000.0,1616973440.0,1.064906899730625e-05,2.0
0xa43904602af48caf6fd474587c441fcdf1be7f1e,160,26888000.0,27683000.0,1617725440.0,3.74839092161625e-05,2.0
0x0a07f6712622d06c3f3971ed8c4155087a88d51a,157,26594847.13375796,27373000.0,1541368088.0,1.181039079611465e-05,2.0
0x1d93a938203384d61da544310217e59e60a03eca,156,25371062.935897436,35845636.0,1340640122.0,3.3150362651673075e-05,2.0
0x27f307c7ebeb37830b92c3178142860ccb864fff,155,33342953.006451614,33711449.0,2567689236.0,1.1340968193348389e-05,2.0
0xe0a2c9d330f70f9562f5a63b2f2a61c15bf49b3f,155,20797583.948387098,26270828.0,623157032.0,8.60613833032258e-06,2.0
0x81fd310117d816cd19966dfaef2ab475fba2faff,155,20000000.0,21800000.0,499531520.0,7.194193548387098e-06,2.0
0x60c92305ce125b440ef97439f26396f2f3beff48,152,32980053.55263158,33749637.0,2462831308.0,1.5109198862072367e-05,2.0
0x12582a27e5e19492b4fcd194a60f8f5e1aa31b0f,151,21444659.059602648,29510743.0,704783902.0,0.00014243126264940398,2.0
0x7c799d29158a32e2e91bbc022a71ca1aa6451073,150,33231601.82,33564392.0,2468157873.0,7.81298e-06,2.0
0x041dd1a798c1277d81f3eeb5f54563b01366b1b9,150,26567800.0,27313000.0,1468587600.0,1.1591424013119998e-05,2.0
0x644933658fb098303dbe8c556ae7f89a89ae3e44,150,26567733.333333332,27313000.0,1468577600.0,1.12896e-05,2.0
0x2e4f501ae2ce00bec58320e21f8e8bffefbb4f80,150,18465676.786666665,20000000.0,253269118.0,7.41889836758e-06,2.0
0x26ff577818a40d1333944b7492e23619303f5d84,147,20000000.0,20000000.0,473749248.0,0.00013900568824828572,2.0
0x2102c32a09cbced4146c3db2d27ae21a185bda43,147,20000000.0,20000000.0,473749248.0,0.0001994626927857143,2.0
0x732e509b6e90deb82dad5bc711239818b73572be,146,26887164.383561645,27633000.0,1476052464.0,1.4097340568547946e-05,2.0
