to_address,transaction_count,avg_gas_limit,max_gas_limit
0x47cec90facc9364d7c21a8ab5e2ad9f1f75d740c,41,27968438.51219512,33775573.0
0xca11bde05977b3631167028862be2a173976ca11,40,19315609.675,31201149.0
0xcca8e0dba2e02e20823412cb074d8931d739924d,39,21358974.35897436,26000000.0
0xe65cfc89890e1ae59e3fab949c90d4370164df3d,39,20000000.0,20000000.0
0x089248e869aecd66199b64637207d366d6cfe92d,38,20000000.0,20000000.0
0x4e59b44847b379578588920ca78fbf26c0b4956c,38,27008128.315789472,29000000.0
0x2ed473f528e5b320f850d17adfe0e558f0298aa9,38,20699987.236842107,26479265.0
0xc832d5c240badf1a90adb26cc8b665091f2c06fc,37,20000000.0,20000000.0
0x0e0f5254b60d4387d3d607600947a57085d5c6fe,36,23682873.111111112,24274834.0
0x1036c0a06810b2880ab0ac3471b682d6b4d041dc,36,20000000.0,20000000.0
0x455bf23ea7575a537b6374953fa71b5f3653272c,36,17343899.333333332,18192953.0
0x005da41474eb93cfea6fcc126e7beaf467e96666,35,23390212.914285716,35312568.0
0x27257e14fc20523c36f3f9df1a9d57195bc69fd6,35,34000000.0,34000000.0
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,33,25602571.606060605,30000000.0
0x9a15bb3a8fec8d0d810691bafe36f6e5d42360f7,31,17725090.322580647,18156361.0
0x0000000000c2d145a2526bd8c716263bfebe1a72,31,22235379.451612905,34652454.0
0x7a0d65e5888c7bc9beba67cd76ec669103260ef4,30,28466666.666666668,29000000.0
0x957292d4c5a559f34b21bfb8334f3db491f595b5,30,30624622.966666665,32431608.0
0x46978cd477a496028a18c02f07ab7f35edba5a54,30,21655838.0,21815335.0
0xad7b0527ab2a2e96c5a299aecd1a37fa9b38263a,30,19466666.666666668,24000000.0
0x4806f4a556d9785c664bbfafeb03bc9f266fa23a,30,22204705.566666663,22349212.0
0x9230aad11ca10d189008513fddc55db7d5c3be95,30,28486165.866666663,34903938.0
0xcccbdaea24119324c1bf44058c4f416cc9a815c0,29,18351648.413793106,19663759.0
0x2a8c5780df20fe36ae4196ac7d9fff0d565cc34d,29,29000000.0,29000000.0
0xbf91acaca8e910b278f9c2510e5a8f0426884f21,29,26161903.44827586,35337385.0
0x22863c875e6b7519141cb8394f2220fac7e6ade6,28,21352142.32142857,28711726.0
0x1ce2b1be96a082b1b1539f80d5d8f82ec06a0f9a,28,20000000.0,20000000.0
0x6bc558a6dc48defa0e7022713c23d65ab26e4fa7,27,28501030.740740743,28527830.0
0xfafcba8f8f4282c4c629a6bb4b98226a7c3e989f,26,30443226.0,34200000.0
0xa7b8888a324b1b981a886e7e3e2e73f779310f96,26,28000000.0,28000000.0
0xffee087852cb4898e6c3532e776e68bc68b1143b,26,18189024.96153846,18224209.0
0x0af04ebc746d12e106a644d818095ea116160dac,25,19695048.6,26162582.0
0xdac17f958d2ee523a2206206994597c13d831ec7,25,31154769.52,34200000.0
0xe08d97e151473a848c3d9ca3f323cb720472d015,25,27029280.44,35950000.0
0x629a493a94b611138d4bee231f94f5c08ab6570a,25,20228976.0,24390000.0
0x902f09715b6303d4173037652fa7377e5b98089e,23,25290936.95652174,28800000.0
0xbbba5ba03d948d0a4cc010ca03d3b6e1b14f7098,23,23874105.260869566,24981888.0
0x39509d8e1dd96cc8bad301ea65c75c7deb52374c,23,18332775.0,23802333.0
0x4b1705c75fde41e35e454ddd14e5d0a0eac06280,23,21333026.086956523,26694000.0
0xfea099aa17566d59694cc3aaef0396d5aa7661c2,22,17376505.454545453,17376506.0
0x370d253f2e3d1d23c6f900928920a470eed8f876,21,21824916.57142857,29952710.0
0x60e1a5714ab98f4ba55811c45899fb425433bb65,21,25706925.285714287,33363893.0
0x1f2f10d1c40777ae1da742455c65828ff36df387,20,27500000.0,30000000.0
0xc8600f424ac13377ab37a9062efdd37f1d012dd3,20,23626167.85,30379482.0
0x112f172f179d8ea6f7fb01e298336df271933a07,20,22100049.35,22200089.0
0x29d9cfb6b0594442196f10980d00fb1c4c83728f,19,27013872.263157897,27052757.0
0x8290d0a3b6d55e9aaf05a59fb3a18a71c309dd61,19,31301627.736842107,32400000.0
0x4a698b2fceffbdf1b82ddc109076902240f4e41f,19,22307798.736842107,35189238.0
0x01c976aa4a4944dfea0f3d1bdf4e3282fd73a649,19,20000000.0,20000000.0
0xab13b8eecf5aa2460841d75da5d5d861fd5b8a39,19,26008555.52631579,35856544.0
0xad52579927029a752cf19fea67636a6986724409,18,20000000.0,20000000.0
0xfa1d66bf587eea1c59c63e3e6f471c5805ea8a2f,17,24286679.529411763,34199967.0
0x3295118acfe5f4150b90a22de8c5b2225e15add2,17,20814850.76470588,21522924.0
0x897f00e052261171f98a69c6a429eecdf86639b8,17,19414564.29411765,19549777.0
0xdf4ffda22270c12d0b5b3788f1669d709476111e,17,25611988.23529412,30335480.0
0xac867cf2f99b6b881a40af91d80d7a4eb7586079,17,19368236.70588235,19400680.0
0xcb3186c012682e265522204c44247a65c1843fbd,17,29497443.70588235,33991129.0
0xef0cd0f1362ee213c9f6a4c550337be1e7d96856,17,31530591.588235293,32400000.0
0x9641d764fc13c8b624c04430c7356c1c7c8102e2,16,21462411.875,34463761.0
0x6984560812bf8a09504dc3acc2d8c334ced3e933,16,27657167.6875,34200000.0
0x3466eb008edd8d5052446293d1a7d212cb65c646,16,24265499.1875,24686828.0
0x0000000000001ff3684f28c67538d4d072c22734,16,23197609.75,29061528.0
0x00000000a2116eaf5030b7cfda8181fdc434a5ed,16,26016877.125,33498886.0
0xaf42d795a6d279e9dcc19dc0ee1ce3ecd4ecf5dd,16,24989880.6875,29714181.0
0xc63d9f0040d35f328274312fc8771a986fc4ba86,16,20000000.0,20000000.0
0x37db4d91e2acc4df114a73b6a710b24e7ba5bd48,16,25223105.5,34812871.0
0x196a26ef25beea61f9199e3f9d4c5c03377df786,16,27475862.25,30000000.0
0x49a18944c02e88be2be5b9bd6d754d52c5f31df9,15,29000000.0,29000000.0
0x0000000000000068f116a894984e2db1123eb395,15,26957362.0,34200000.0
0x81ad394c0fa87e99ca46e1aca093bee020f203f4,15,21768653.0,29397362.0
0xacaa4dde6c4fb90bb1948904f0308296f7c74252,15,26969765.666666668,28679989.0
0x9008d19f58aabd9ed0d60971565aa8510560ab41,15,21973382.133333333,32556312.0
0x46950ba8946d7be4594399bcf203fb53e1fd7d37,15,31484698.933333334,35964675.0
0x29b97f37b3e0c704bcfd785f5b7bba2a0b7df2c7,14,24077806.07142857,27960774.0
0x8cb924583681cbfe487a62140a994a49f833c244,14,32277063.85714286,32400000.0
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,14,30411870.5,34200000.0
0x431cedef697b96c43efb126b1d0dd1c420eb532a,14,24487632.214285713,34066575.0
0x264af64ced703d4398339ec572745db1497665d6,14,23495234.64285714,30000000.0
0xcd44c0a16bff3f818b65f854ec867dbaef5ae5e9,14,19576745.42857143,21617482.0
0x40a2accbd92bca938b02010e17a5b8929b49130d,13,26252839.076923076,35384996.0
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,13,22558018.076923076,28583329.0
0x343b0fe13b5c0414c9d7ac041965b9054a8e64d0,13,27490477.0,32400000.0
0x881d40237659c251811cec9c364ef91dc08d300c,13,24663032.923076924,30599290.0
0xa436c9048d4927ff69943278aae0e426f9f68755,13,18153244.69230769,18328600.0
0x66e69dfb54ecedf4ab9bfcbb254668de396bce95,13,21847945.923076924,25056969.0
0x4d8f32a3504f31a1e1cb6128197012fd7b91a164,13,18590002.769230768,18599398.0
0xca937521d07e7956a7f9356edfb9ad980706a877,13,17499605.615384616,17500257.0
0xb4d03c73566225b1e35d1f384d5dddb9b0b035cc,12,27750000.0,28000000.0
0x9f46a75d1a296a629d3487584cedcf36ea7865df,12,22993800.33333333,23875069.0
0xc5a076cad94176c2996b32d8466be1ce757faa27,12,19382911.666666668,19480749.0
0x621c335b4bd8f2165e120dc70d3afcafc6628681,12,20173497.583333332,20789641.0
0x6a8894d2843b33a939d706dc8c54f42716cdddc1,12,19486668.166666668,24760902.0
0xdb5c9ac6089d6cca205f54ee19bd151e419cac63,12,21848672.666666668,27740676.0
0xbdba16270ea4d6edaf4f866afa0fa395c9929fd0,12,20000000.0,20000000.0
0x4dd1412521a0691a12f996979005e2f3881afb4b,12,30000000.0,30000000.0
0xde744217bf5d759420a03adb4d96ef53360c68d8,12,31859396.5,34748296.0
0x3363c34f9986a0a2b58bebc96dd51aa9b74a782a,12,17848333.333333332,19480000.0
0x9419c1e3998e2a58046302e3c03b411800a4d697,12,18041370.416666668,18042248.0
0x4576eae07b1f15f23160973de0d90ee2d3e0802b,12,20978775.0,21009261.0
0x97f0fa1e5bf44f0dbd8dc5ee5e0d017667ae0c34,11,29576513.272727273,29966266.0
0x4e5846858c8da2149b7185f0569121632270aae8,11,18290366.0,18534180.0
0x709b1b5d0fdc75cace1eb7f6aa00873f2f2cbc27,11,23969473.272727273,24416097.0
0xa07dd68136bb4918bd48d3eff89edb43accf6a5a,11,28351054.09090909,28731925.0
0x000000000000bb1b11e5ac8099e92e366b64c133,11,19011198.818181816,20049658.0
0x5b3122d9cd34c5317cd1900aa106453133f57f8a,11,29771490.0,32660759.0
0x40f5adb06a54dbf83ebf45b89c5aecb6f3addcbe,11,23191049.181818184,34200000.0
0x8edcfff1eeb8485b8b66cf16f9d9c34ca31c0985,11,30785648.363636363,32400000.0
0x9d4d54e198e8fdad10d8bcf9594ef0384dc34e3d,11,18599206.636363637,18599300.0
0x989468982b08aefa46e37cd0086142a86fa466d7,10,19678220.0,23565492.0
0x000000000000f10286d9c1c5d4635a25070572b6,10,21128710.9,27740498.0
0x46aacae07fd49205262ee6524a3ccec32cc371a4,10,21094322.2,22799603.0
0x23aa05a271debffaa3d75739af5581f744b326e4,10,26348035.6,29998550.0
0x49e9a16ba0f74f97a639fd768a6ba5b78cc9a658,10,20774092.2,21767541.0
0xb524735356985d2f267fa010d681f061dff03715,10,20983088.1,28160227.0
0xe06a1ad7346dfda7ce9bcfba751dabfd754bafad,10,27949348.4,34199967.0
0x33a76173680427cba3ffc3a625b7bc43b08ce0c5,10,25185247.0,29570490.0
0x8e495a5b93c0dc0ee5d95c97d788c590746d8bd8,10,20023633.0,20023633.0
0xd1a0d188e861ed9d15773a2f3574a2e94134ba8f,10,20000000.0,20000000.0
0xfe11a5009f2121622271e7dd0fd470264e076af6,10,18910450.4,20555340.0
0x0000000000002bdbf1bf3279983603ec279cc6df,10,32335707.2,34668663.0
0xad2b99dba02e71faa4612d6280a88b9f9ccff3c2,10,25000058.3,25000090.0
0x8cc51c532f5a71210d19d87d3d8a1e6f50ad583c,10,22918667.9,23130286.0
0x97f69e1f54a4b10d934ff67e65b7ecfbab6ec652,9,25027453.555555556,25066092.0
0x000000004685666c7653cc148f566f0511901b37,9,25619851.333333332,34356903.0
0xb85f2a5e2a7341afe4bd50c27211e0cf29c79ebd,9,28500000.0,28500000.0
0x000000000000ad05ccc4f10045630fb830b95127,9,18411210.0,21308400.0
0x0baac79acd45a023e19345c352d8a7a83c4e5656,9,17091978.444444444,17507684.0
0x40bb9082317411ddf7726d04cfbbd55720bab55b,9,20845277.888888888,22035371.0
0xf00000003d31d4ab730a8e269ae547f8f76996ba,9,20500000.0,20500000.0
0xe99938fc114b20f818c9202955ba8c8c4a5a79b9,9,20000000.0,20000000.0
0xa001a927d27ec9246cee7d1829a3309970888888,9,26833333.333333332,35700000.0
0x800123cac8afd425270d4ce52f6d404e476dce6e,9,19165135.888888888,22492937.0
0xec4e4fb7691a86284a73a0c21b98f40a1598957f,9,30000000.0,30000000.0
0x0000001d41857cb60f6be0c9fe74b9e69e1e5234,9,17836940.222222224,18842970.0
0x8199940b068c65f35272078775093023f59acb42,9,17712657.0,17712813.0
0x662ee3c555dc04f4bd03e98183a9366b83122b2d,9,28311669.777777776,28311795.0
0x66986cd09d974e9d7c39c3921c90361bf8af6696,9,25511970.444444444,27136808.0
0x6982508145454ce325ddbe47a25d4ec3d2311933,8,28500000.0,28500000.0
0xdc71affc862fceb6ad32be58e098423a7727bebd,8,25331824.25,29834240.0
0xe5704e4e8ded73c5a184a9a0600b487f2826329e,8,25831036.375,28500000.0
0x71a41517fe65890fe835d67fce17a9747112696c,8,19841202.5,19868112.0
0x3b968d2d299b895a5fcf3bba7a64ad0f566e6f88,8,21559027.375,25900000.0
0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,8,19860061.25,26828781.0
0x591a86ceb8b7db5a1f8c38fc785d68d39f67fe33,8,23416036.125,23441164.0
0xafbd66706f90bc56d29c39a260930b34b2757ed8,8,23142422.0,23219276.0
0x21f73d42eb58ba49ddb685dc29d3bf5c0f0373ca,8,26384956.875,33347135.0
0x8236a87084f8b84306f72007f36f2618a5634494,8,21195079.25,25038385.0
0x15ce9be6609db102b70d68ca75a39c555bea5fac,8,18251665.5,19007648.0
0xeafae49cb98999d633537b61b0b90648cf2d9ec8,8,21405213.625,24778695.0
0x331cf92c453cab92d62e7781a6ebf99c3b261d76,8,22020096.0,22020096.0
0x36c211c099eb2ce0fa245bc3babf63f8367145fb,8,30000000.0,30000000.0
0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,8,28153326.5,29854536.0
0x39b33a124957ad0bc928592a46b4dbe084d07780,8,17726756.0,17726765.0
0x00000000000008882d72efa6cce4b6a40b24c860,8,30709391.5,34200000.0
0x0df19407f9bb6db7a7d877973180de70a77765d7,8,24000000.0,24000000.0
0x3b4201496d05113f4c76925df00d5abb56887bd5,7,20027889.14285714,20309209.0
0xc40be3a801a39bdc151bf6b3468b4035f8a4d440,7,28511919.42857143,28527830.0
0xdef1c0ded9bec7f1a1670819833240f027b25eff,7,24465729.85714286,28499995.0
0x0200121f8cabdbb405f01087373cb087b8c4c50c,7,17547260.57142857,17967809.0
0x00005ea00ac477b1030ce78506496e8c2de24bf5,7,24365277.714285713,34200000.0
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,7,24257558.14285714,33444504.0
0x7a68033f4480d0272618f2df998a5fc54bd02c46,7,20252707.14285714,22002417.0
